t,t+1,delta,tokenized_data
104673050624,104675147776,2097152,2097152
104675147776,104668856320,-6291456,-6291456
104668856320,104670953472,2097152,2097152
104670953472,104664662016,-6291456,-6291456
104664662016,104666759168,2097152,2097152
104666759168,104660467712,-6291456,-6291456
104660467712,104662564864,2097152,2097152
104662564864,104656273408,-6291456,-6291456
104656273408,104658370560,2097152,2097152
104658370560,104652079104,-6291456,-6291456
104652079104,104654176256,2097152,2097152
104654176256,104647884800,-6291456,-6291456
104647884800,104649981952,2097152,2097152
104649981952,104643690496,-6291456,-6291456
104643690496,104645787648,2097152,2097152
104645787648,104639496192,-6291456,-6291456
104639496192,104641593344,2097152,2097152
104641593344,104635301888,-6291456,-6291456
104635301888,104637399040,2097152,2097152
104637399040,104631107584,-6291456,-6291456
104631107584,104633204736,2097152,2097152
104633204736,104626913280,-6291456,-6291456
104626913280,104629010432,2097152,2097152
104629010432,104622718976,-6291456,-6291456
104622718976,104624816128,2097152,2097152
104624816128,104618524672,-6291456,-6291456
104618524672,104620621824,2097152,2097152
104620621824,104614330368,-6291456,-6291456
104614330368,104616427520,2097152,2097152
104616427520,104610136064,-6291456,-6291456
104610136064,104612233216,2097152,2097152
104612233216,104605941760,-6291456,-6291456
104605941760,104608038912,2097152,2097152
104608038912,104601747456,-6291456,-6291456
104601747456,104603844608,2097152,2097152
104603844608,104597553152,-6291456,-6291456
104597553152,104599650304,2097152,2097152
104599650304,104593358848,-6291456,-6291456
104593358848,104595456000,2097152,2097152
104595456000,104589164544,-6291456,-6291456
104589164544,104591261696,2097152,2097152
104591261696,104584970240,-6291456,-6291456
104584970240,104587067392,2097152,2097152
104587067392,104580775936,-6291456,-6291456
104580775936,104582873088,2097152,2097152
104582873088,104576581632,-6291456,-6291456
104576581632,104578678784,2097152,2097152
104578678784,104572387328,-6291456,-6291456
104572387328,104574484480,2097152,2097152
104574484480,104568193024,-6291456,-6291456
104568193024,104570290176,2097152,2097152
104570290176,104563998720,-6291456,-6291456
104563998720,104566095872,2097152,2097152
104566095872,104559804416,-6291456,-6291456
104559804416,104561901568,2097152,2097152
104561901568,104555610112,-6291456,-6291456
104555610112,104557707264,2097152,2097152
104557707264,104551415808,-6291456,-6291456
104551415808,104553512960,2097152,2097152
104553512960,104547221504,-6291456,-6291456
104547221504,104549318656,2097152,2097152
104549318656,104543027200,-6291456,-6291456
104543027200,104545124352,2097152,2097152
104545124352,104538832896,-6291456,-6291456
104538832896,104540930048,2097152,2097152
104540930048,104534638592,-6291456,-6291456
104534638592,104536735744,2097152,2097152
104536735744,104530444288,-6291456,-6291456
