t,t+1,delta,tokenized_data
104294572032,104294576128,4096,4096
104294576128,104294580224,4096,4096
104294580224,104294584320,4096,4096
104294584320,104294588416,4096,4096
104294588416,104294592512,4096,4096
104294592512,104294596608,4096,4096
104294596608,104294600704,4096,4096
104294600704,104294604800,4096,4096
104294604800,104294608896,4096,4096
104294608896,104294612992,4096,4096
104294612992,104294617088,4096,4096
104294617088,104294621184,4096,4096
104294621184,104294625280,4096,4096
104294625280,104294629376,4096,4096
104294629376,104294633472,4096,4096
104294633472,104294637568,4096,4096
104294637568,104294641664,4096,4096
104294641664,104294645760,4096,4096
104294645760,104294649856,4096,4096
104294649856,104294653952,4096,4096
104294653952,104294658048,4096,4096
104294658048,104294662144,4096,4096
104294662144,104294666240,4096,4096
104294666240,104294670336,4096,4096
104294670336,104294674432,4096,4096
104294674432,104294678528,4096,4096
104294678528,104294682624,4096,4096
104294682624,104294686720,4096,4096
104294686720,104294690816,4096,4096
104294690816,104294694912,4096,4096
104294694912,104294699008,4096,4096
104294699008,104294703104,4096,4096
104294703104,104294707200,4096,4096
104294707200,104294711296,4096,4096
104294711296,104294715392,4096,4096
104294715392,104294719488,4096,4096
104294719488,104294723584,4096,4096
104294723584,104294727680,4096,4096
104294727680,104294731776,4096,4096
104294731776,104294735872,4096,4096
104294735872,104294739968,4096,4096
104294739968,104294744064,4096,4096
104294744064,104294748160,4096,4096
104294748160,104294752256,4096,4096
104294752256,104294756352,4096,4096
104294756352,104294760448,4096,4096
104294760448,104294764544,4096,4096
104294764544,104294768640,4096,4096
104294768640,104294772736,4096,4096
104294772736,104294776832,4096,4096
104294776832,104294780928,4096,4096
104294780928,104294785024,4096,4096
104294785024,104294789120,4096,4096
104294789120,104294793216,4096,4096
104294793216,104294797312,4096,4096
104294797312,104294801408,4096,4096
104294801408,104294805504,4096,4096
104294805504,104294809600,4096,4096
104294809600,104294813696,4096,4096
104294813696,104294817792,4096,4096
104294817792,104294821888,4096,4096
104294821888,104294825984,4096,4096
104294825984,104294830080,4096,4096
104294830080,104294834176,4096,4096
104294834176,104294838272,4096,4096
104294838272,104294842368,4096,4096
104294842368,104294846464,4096,4096
104294846464,104294850560,4096,4096
104294850560,104294854656,4096,4096
104294854656,104294858752,4096,4096
104294858752,104294862848,4096,4096
104294862848,104294866944,4096,4096
104294866944,104294871040,4096,4096
104294871040,104294875136,4096,4096
104294875136,104294879232,4096,4096
104294879232,104294883328,4096,4096
104294883328,104294887424,4096,4096
104294887424,104294891520,4096,4096
104294891520,104294895616,4096,4096
104294895616,104294899712,4096,4096
104294899712,104294903808,4096,4096
104294903808,104294907904,4096,4096
104294907904,104294912000,4096,4096
104294912000,104294916096,4096,4096
104294916096,104294920192,4096,4096
104294920192,104294924288,4096,4096
104294924288,104294928384,4096,4096
